date,body_part,exercise,set_no,weight_kg,reps,volume_kg
2024-01-17,Pull,Lat pullover,2,25.0,10.0,250.0
2024-01-17,Pull,Lat pullover,1,25.0,13.0,325.0
2024-01-19,Lower,Calf raises,3,17.5,13.0,227.5
2024-01-19,Lower,Calf raises,2,17.5,12.0,210.0
2024-01-19,Lower,Squats,1,20.0,10.0,200.0
2024-01-19,Lower,Squats,2,30.0,8.0,240.0
2024-01-19,Lower,Squats,3,30.0,8.0,240.0
2024-01-19,Lower,Leg press,2,50.0,8.0,400.0
2024-01-19,Lower,Leg press,3,60.0,6.0,360.0
2024-01-19,Lower,Leg press,4,60.0,6.0,360.0
2024-01-19,Lower,Back extension,1,56.0,10.0,560.0
2024-01-19,Lower,Back extension,2,56.0,8.0,448.0
2024-01-19,Lower,Back extension,3,56.0,8.0,448.0
2024-01-19,Lower,Calf raises,1,17.5,14.0,245.0
2024-01-19,Lower,Leg press,1,50.0,7.0,350.0
2024-01-20,Upper,Bench press,4,20.0,6.0,120.0
2024-01-20,Upper,Cable rows,1,45.0,8.0,360.0
2024-01-20,Upper,Bench press,2,20.0,7.0,140.0
2024-01-20,Upper,Cable rows,4,45.0,10.0,450.0
2024-01-20,Upper,OHP,1,15.0,7.0,105.0
2024-01-20,Upper,OHP,2,15.0,9.0,135.0
2024-01-20,Upper,OHP,3,15.0,7.0,105.0
2024-01-20,Upper,Lat Pulldown,1,35.0,8.0,280.0
2024-01-20,Upper,Lat Pulldown,2,35.0,7.0,245.0
2024-01-20,Upper,Lat Pulldown,3,40.0,7.0,280.0
2024-01-20,Upper,Cable rows,3,45.0,9.0,405.0
2024-01-20,Upper,Incline dumbbell press,1,15.0,8.0,120.0
2024-01-20,Upper,Incline dumbbell press,3,15.0,9.0,135.0
2024-01-20,Upper,Overhead triceps extension,1,5.0,10.0,50.0
2024-01-20,Upper,Overhead triceps extension,2,5.0,10.0,50.0
2024-01-20,Upper,Overhead triceps extension,3,5.0,10.0,50.0
2024-01-20,Upper,Single hand dumbbell curls,1,5.0,12.0,60.0
2024-01-20,Upper,Single hand dumbbell curls,2,7.5,10.0,75.0
2024-01-20,Upper,Single hand dumbbell curls,3,7.5,10.0,75.0
2024-01-20,Upper,Incline dumbbell press,2,15.0,8.0,120.0
2024-01-20,Upper,Cable rows,2,45.0,9.0,405.0
2024-01-20,Upper,Bench press,1,20.0,6.0,120.0
2024-01-20,Upper,Bench press,3,20.0,6.0,120.0
2024-01-22,Legs,Leg press,2,50.0,8.0,400.0
2024-01-22,Legs,Leg press,1,50.0,8.0,400.0
2024-01-22,Legs,Calf raises,3,17.5,12.0,210.0
2024-01-22,Legs,Calf raises,2,17.5,11.0,192.5
2024-01-22,Legs,Leg press,3,50.0,8.0,400.0
2024-01-22,Legs,Dumbbell deadlift,1,12.5,11.0,137.5
2024-01-22,Legs,Dumbbell deadlift,2,12.5,12.0,150.0
2024-01-22,Legs,Dumbbell deadlift,3,12.5,11.0,137.5
2024-01-22,Legs,Wide stride Lunges,1,10.0,12.0,120.0
2024-01-22,Legs,Calf raises,1,17.5,13.0,227.5
2024-01-22,Legs,Leg curls,3,20.0,6.0,120.0
2024-01-22,Legs,Wide stride Lunges,2,10.0,15.0,150.0
2024-01-22,Legs,Wide stride Lunges,3,10.0,16.0,160.0
2024-01-22,Legs,Leg curls,1,15.0,10.0,150.0
2024-01-22,Legs,Leg curls,2,15.0,10.0,150.0
2024-01-23,Push,Lateral raises,1,5.0,16.0,80.0
2024-01-23,Push,Single hand triceps pushdown,1,5.0,11.0,55.0
2024-01-23,Push,OHP,3,12.5,10.0,125.0
2024-01-23,Push,OHP,2,12.5,9.0,112.5
2024-01-23,Push,OHP,1,12.5,9.0,112.5
2024-01-23,Push,Dips,3,53.199999999999996,9.0,478.79999999999995
2024-01-23,Push,Dips,2,53.199999999999996,8.0,425.59999999999997
2024-01-23,Push,Dips,1,53.199999999999996,8.0,425.59999999999997
2024-01-23,Push,Pec dec,3,25.0,11.0,275.0
2024-01-23,Push,Pec dec,2,25.0,11.0,275.0
2024-01-23,Push,Pec dec,1,20.0,14.0,280.0
2024-01-23,Push,Incline dumbbell press,3,15.0,9.0,135.0
2024-01-23,Push,Incline dumbbell press,2,15.0,10.0,150.0
2024-01-23,Push,Incline dumbbell press,1,15.0,10.0,150.0
2024-01-23,Push,Overhead triceps extension,3,5.0,11.0,55.0
2024-01-23,Push,Overhead triceps extension,2,5.0,11.0,55.0
2024-01-23,Push,Overhead triceps extension,1,5.0,11.0,55.0
2024-01-23,Push,Lateral raises,3,5.0,16.0,80.0
2024-01-23,Push,Single hand triceps pushdown,2,5.0,11.0,55.0
2024-01-23,Push,Single hand triceps pushdown,3,5.0,11.0,55.0
2024-01-23,Push,Lateral raises,2,5.0,15.0,75.0
2024-01-24,Pull,Lat Pulldown,2,35.0,9.0,315.0
2024-01-24,Pull,Lat Pulldown,3,40.0,8.0,320.0
2024-01-24,Pull,Lat pullover,1,25.0,11.0,275.0
2024-01-24,Pull,Lat pullover,2,25.0,10.0,250.0
2024-01-24,Pull,Lat pullover,4,20.0,9.0,180.0
2024-01-24,Pull,Lat pullover,3,25.0,10.0,250.0
2024-01-24,Pull,Preacher curls,2,10.0,9.0,90.0
2024-01-24,Pull,Lat Pulldown,1,35.0,10.0,350.0
2024-01-24,Pull,Cable rows,4,41.0,12.0,492.0
2024-01-24,Pull,Cable rows,3,41.0,11.0,451.0
2024-01-24,Pull,Cable rows,2,41.0,12.0,492.0
2024-01-24,Pull,Cable rows,1,41.0,12.0,492.0
2024-01-24,Pull,Preacher curls,1,10.0,9.0,90.0
2024-01-24,Pull,Rev pec dec,1,20.0,11.0,220.0
2024-01-24,Pull,Preacher curls,3,10.0,9.0,90.0
2024-01-24,Pull,Preacher curls,4,10.0,9.0,90.0
2024-01-24,Pull,Rev pec dec,2,20.0,10.0,200.0
2024-01-24,Pull,Rev pec dec,3,20.0,11.0,220.0
2024-01-29,Legs,Dumbbell deadlift,1,10.0,16.0,160.0
2024-01-29,Legs,Wide stride Lunges,1,10.0,16.0,160.0
2024-01-29,Legs,Hanging knee raises,3,22.400000000000002,13.0,291.20000000000005
2024-01-29,Legs,Hanging knee raises,2,22.400000000000002,15.0,336.00000000000006
2024-01-29,Legs,Hanging knee raises,1,22.400000000000002,15.0,336.00000000000006
2024-01-29,Legs,Cable crunches,3,36.0,13.0,468.0
2024-01-29,Legs,Cable crunches,2,36.0,13.0,468.0
2024-01-29,Legs,Wide stride Lunges,3,10.0,20.0,200.0
2024-01-29,Legs,Cable crunches,1,27.0,14.0,378.0
2024-01-29,Legs,Calf raises,2,17.5,12.0,210.0
2024-01-29,Legs,Calf raises,1,17.5,13.0,227.5
2024-01-29,Legs,Wide stride Lunges,2,10.0,20.0,200.0
2024-01-29,Legs,Leg press,2,40.0,10.0,400.0
2024-01-29,Legs,Leg press,1,40.0,10.0,400.0
2024-01-29,Legs,Lying leg curls,3,20.0,5.0,100.0
2024-01-29,Legs,Lying leg curls,2,15.0,10.0,150.0
2024-01-29,Legs,Lying leg curls,1,15.0,11.0,165.0
2024-01-29,Legs,Dumbbell deadlift,3,12.5,12.0,150.0
2024-01-29,Legs,Dumbbell deadlift,2,12.5,12.0,150.0
2024-01-29,Legs,Calf raises,3,17.5,12.0,210.0
2024-01-29,Legs,Leg press,3,50.0,9.0,450.0
2024-01-30,Push,Lateral raises,2,5.0,17.0,85.0
2024-01-30,Push,Overhead triceps extension,1,5.0,12.0,60.0
2024-01-30,Push,Lateral raises,1,5.0,16.0,80.0
2024-01-30,Push,Single hand triceps extension,3,9.0,13.0,117.0
2024-01-30,Push,Single hand triceps extension,2,9.0,14.0,126.0
2024-01-30,Push,Single hand triceps extension,1,9.0,13.0,117.0
2024-01-30,Push,OHP,3,12.5,9.0,112.5
2024-01-30,Push,OHP,2,12.5,10.0,125.0
2024-01-30,Push,OHP,1,12.5,10.0,125.0
2024-01-30,Push,Pec dec,3,30.0,10.0,300.0
2024-01-30,Push,Lateral raises,3,5.0,20.0,100.0
2024-01-30,Push,Pec dec,2,25.0,12.0,300.0
2024-01-30,Push,Pec dec,1,25.0,11.0,275.0
2024-01-30,Push,Incline dumbbell press,3,15.0,9.0,135.0
2024-01-30,Push,Incline dumbbell press,2,15.0,10.0,150.0
2024-01-30,Push,Incline dumbbell press,1,15.0,10.0,150.0
2024-01-31,Pull,Rec pec dec,2,20.0,11.0,220.0
2024-01-31,Pull,Lat Pulldown,1,30.0,13.0,390.0
2024-01-31,Pull,Lat Pulldown,2,35.0,9.0,315.0
2024-01-31,Pull,Lat Pulldown,3,35.0,8.0,280.0
2024-01-31,Pull,Cable rows,1,41.0,13.0,533.0
2024-01-31,Pull,Cable rows,2,45.0,11.0,495.0
2024-01-31,Pull,Lat pullover,1,23.0,12.0,276.0
2024-01-31,Pull,Lat pullover,2,23.0,10.0,230.0
2024-01-31,Pull,Lat pullover,3,23.0,10.0,230.0
2024-01-31,Pull,Preacher curls,1,10.0,10.0,100.0
2024-01-31,Pull,Preacher curls,2,10.0,10.0,100.0
2024-01-31,Pull,Preacher curls,3,15.0,5.0,75.0
2024-01-31,Pull,Preacher curls,4,10.0,8.0,80.0
2024-01-31,Pull,Rec pec dec,1,20.0,11.0,220.0
2024-01-31,Pull,Rec pec dec,3,20.0,8.0,160.0
2024-01-31,Pull,Cable rows,3,45.0,12.0,540.0
2024-02-09,Lower,Leg press,2,50.0,10.0,500.0
2024-02-09,Lower,Cable crunches,2,41.0,15.0,615.0
2024-02-09,Lower,Hanging knee raise,2,22.400000000000002,20.0,448.00000000000006
2024-02-09,Lower,Hanging knee raise,1,22.400000000000002,20.0,448.00000000000006
2024-02-09,Lower,Cable crunches,3,41.0,15.0,615.0
2024-02-09,Lower,Cable crunches,1,41.0,15.0,615.0
2024-02-09,Lower,Back extension,2,56.0,10.0,560.0
2024-02-09,Lower,Back extension,1,56.0,10.0,560.0
2024-02-09,Lower,Calf raises,4,20.0,10.0,200.0
2024-02-09,Lower,Calf raises,3,20.0,10.0,200.0
2024-02-09,Lower,Calf raises,2,17.5,13.0,227.5
2024-02-09,Lower,Calf raises,1,17.5,15.0,262.5
2024-02-09,Lower,Leg press,4,60.0,8.0,480.0
2024-02-09,Lower,Leg press,3,60.0,8.0,480.0
2024-02-09,Lower,Leg press,1,50.0,8.0,400.0
2024-02-09,Lower,Hanging knee raise,3,22.400000000000002,20.0,448.00000000000006
2024-02-09,Lower,Squat,3,20.0,10.0,200.0
2024-02-09,Lower,Squat,4,20.0,10.0,200.0
2024-02-09,Lower,Squat,1,10.0,10.0,100.0
2024-02-09,Lower,Squat,2,20.0,8.0,160.0
2024-02-12,Legs,Cable crunches,3,36.0,11.0,396.0
2024-02-12,Legs,Cable crunches,2,36.0,11.0,396.0
2024-02-12,Legs,Cable crunches,1,32.0,12.0,384.0
2024-02-12,Legs,Dumbbell deadlift,3,15.0,9.0,135.0
2024-02-12,Legs,Calf raises,3,17.5,11.0,192.5
2024-02-12,Legs,Calf raises,2,17.5,12.0,210.0
2024-02-12,Legs,Lying leg curls,2,15.0,8.0,120.0
2024-02-12,Legs,Calf raises,1,17.5,12.0,210.0
2024-02-12,Legs,Leg press,2,50.0,8.0,400.0
2024-02-12,Legs,Leg press,1,50.0,8.0,400.0
2024-02-12,Legs,Wide stride Lunges,3,12.5,12.0,150.0
2024-02-12,Legs,Wide stride Lunges,2,12.5,14.0,175.0
2024-02-12,Legs,Wide stride Lunges,1,12.5,14.0,175.0
2024-02-12,Legs,Lying leg curls,3,20.0,8.0,160.0
2024-02-12,Legs,Leg press,3,50.0,8.0,400.0
2024-02-12,Legs,Dumbbell deadlift,2,15.0,9.0,135.0
2024-02-12,Legs,Lying leg curls,1,15.0,9.0,135.0
2024-02-12,Legs,Dumbbell deadlift,1,12.5,12.0,150.0
2024-02-13,Chest/Shoulder,Incline dumbbell press,3,12.5,10.0,125.0
2024-02-13,Chest/Shoulder,Incline dumbbell press,2,12.5,10.0,125.0
2024-02-13,Chest/Shoulder,Incline dumbbell press,1,15.0,6.0,90.0
2024-02-13,Chest/Shoulder,Bench press,3,15.0,9.0,135.0
2024-02-13,Chest/Shoulder,Bench press,2,20.0,6.0,120.0
2024-02-13,Chest/Shoulder,Bench press,1,10.0,11.0,110.0
2024-02-13,Chest/Shoulder,Pec dec,1,20.0,10.0,200.0
2024-02-13,Chest/Shoulder,Cable lateral raises,2,5.0,10.0,50.0
2024-02-13,Chest/Shoulder,Cable lateral raises,1,5.0,10.0,50.0
2024-02-13,Chest/Shoulder,OHP,2,10.0,11.0,110.0
2024-02-13,Chest/Shoulder,OHP,1,10.0,10.0,100.0
2024-02-13,Chest/Shoulder,Pec dec,3,25.0,11.0,275.0
2024-02-13,Chest/Shoulder,Pec dec,2,25.0,9.0,225.0
2024-02-13,Chest/Shoulder,Cable lateral raises,3,5.0,10.0,50.0
2024-02-14,Back,Pull up,1,56.0,8.0,448.0
2024-02-14,Back,Pull up,2,56.0,7.0,392.0
2024-02-14,Back,Lat Pulldown,1,30.0,8.0,240.0
2024-02-14,Back,Lat Pulldown,3,30.0,8.0,240.0
2024-02-14,Back,Cable rows,1,36.0,12.0,432.0
2024-02-14,Back,Cable rows,2,41.0,10.0,410.0
2024-02-14,Back,Cable rows,3,45.0,8.0,360.0
2024-02-14,Back,Lat Pulldown,2,30.0,9.0,270.0
2024-02-14,Back,Rev pec dec,2,20.0,7.0,140.0
2024-02-14,Back,Lat pullover,2,20.0,11.0,220.0
2024-02-14,Back,Rev pec dec,3,15.0,7.0,105.0
2024-02-14,Back,Lat pullover,1,20.0,9.0,180.0
2024-02-14,Back,Rev pec dec,1,15.0,8.0,120.0
2024-02-17,Arms,Preacher curls,3,10.0,8.0,80.0
2024-02-17,Arms,Preacher curls,2,10.0,9.0,90.0
2024-02-17,Arms,Preacher curls,1,10.0,10.0,100.0
2024-02-17,Arms,Biceps curls,3,10.0,7.0,70.0
2024-02-17,Arms,Biceps curls,2,7.5,10.0,75.0
2024-02-17,Arms,Biceps curls,1,5.0,10.0,50.0
2024-02-17,Arms,Overhead triceps extension,3,15.0,10.0,150.0
2024-02-17,Arms,Overhead triceps extension,2,15.0,10.0,150.0
2024-02-17,Arms,Overhead triceps extension,1,20.0,7.0,140.0
2024-02-17,Arms,Triceps pushdown,3,25.0,8.0,200.0
2024-02-17,Arms,Triceps pushdown,2,25.0,9.0,225.0
2024-02-17,Arms,Triceps pushdown,1,20.0,11.0,220.0
2024-02-19,Back,Rev pec dec,3,15.0,10.0,150.0
2024-02-19,Back,Lat pullover,1,20.0,11.0,220.0
2024-02-19,Back,Pull-ups,1,56.0,7.0,392.0
2024-02-19,Back,Pull-ups,2,56.0,5.0,280.0
2024-02-19,Back,Lat Pulldown,1,30.0,9.0,270.0
2024-02-19,Back,Lat Pulldown,2,30.0,8.0,240.0
2024-02-19,Back,Lat Pulldown,3,30.0,7.0,210.0
2024-02-19,Back,Cable rows,1,45.0,8.0,360.0
2024-02-19,Back,Cable rows,2,45.0,9.0,405.0
2024-02-19,Back,Cable rows,3,50.0,9.0,450.0
2024-02-19,Back,Lat pullover,2,20.0,11.0,220.0
2024-02-19,Back,Rev pec dec,1,15.0,11.0,165.0
2024-02-19,Back,Rev pec dec,2,15.0,9.0,135.0
2024-02-20,Chest/shoulder,OHP,1,10.0,10.0,100.0
2024-02-20,Chest/shoulder,OHP,2,10.0,9.0,90.0
2024-02-20,Chest/shoulder,Lateral raises,2,5.0,9.0,45.0
2024-02-20,Chest/shoulder,Lateral raises,1,5.0,10.0,50.0
2024-02-20,Chest/shoulder,Lateral raises,4,5.0,9.0,45.0
2024-02-20,Chest/shoulder,Pec dec,3,25.0,8.0,200.0
2024-02-20,Chest/shoulder,Lateral raises,3,5.0,9.0,45.0
2024-02-20,Chest/shoulder,Pec dec,2,25.0,8.0,200.0
2024-02-20,Chest/shoulder,Incline dumbbell press,2,12.5,10.0,125.0
2024-02-20,Chest/shoulder,Incline dumbbell press,3,12.5,10.0,125.0
2024-02-20,Chest/shoulder,Incline dumbbell press,1,12.5,10.0,125.0
2024-02-20,Chest/shoulder,Bench press,3,20.0,5.0,100.0
2024-02-20,Chest/shoulder,Bench press,2,15.0,10.0,150.0
2024-02-20,Chest/shoulder,Bench press,1,10.0,10.0,100.0
2024-02-20,Chest/shoulder,Pec dec,1,20.0,11.0,220.0
2024-02-21,Legs,Lying leg curls,4,15.0,8.0,120.0
2024-02-21,Legs,Cable crunches,3,36.0,11.0,396.0
2024-02-21,Legs,Cable crunches,2,36.0,11.0,396.0
2024-02-21,Legs,Cable crunches,1,36.0,11.0,396.0
2024-02-21,Legs,Calf raises,4,17.5,11.0,192.5
2024-02-21,Legs,Calf raises,3,17.5,11.0,192.5
2024-02-21,Legs,Calf raises,2,17.5,11.0,192.5
2024-02-21,Legs,Calf raises,1,17.5,12.0,210.0
2024-02-21,Legs,Lying leg curls,3,15.0,9.0,135.0
2024-02-21,Legs,Leg press,1,50.0,8.0,400.0
2024-02-21,Legs,Lying leg curls,1,15.0,9.0,135.0
2024-02-21,Legs,Leg extension,3,20.0,8.0,160.0
2024-02-21,Legs,Leg extension,2,20.0,8.0,160.0
2024-02-21,Legs,Leg extension,1,25.0,9.0,225.0
2024-02-21,Legs,Leg press,3,50.0,7.0,350.0
2024-02-21,Legs,Leg press,2,50.0,7.0,350.0
2024-02-21,Legs,Lying leg curls,2,15.0,8.0,120.0
2024-02-24,Arms,Overhead triceps extension,1,15.0,8.0,120.0
2024-02-24,Arms,Preacher curls,2,10.0,7.0,70.0
2024-02-24,Arms,Overhead triceps extension,2,15.0,9.0,135.0
2024-02-24,Arms,Overhead triceps extension,3,15.0,8.0,120.0
2024-02-24,Arms,Triceps pushdown,2,25.0,10.0,250.0
2024-02-24,Arms,Preacher curls,3,10.0,8.0,80.0
2024-02-24,Arms,Preacher curls,1,5.0,12.0,60.0
2024-02-24,Arms,Dumbbell curls,1,7.5,15.0,112.5
2024-02-24,Arms,Dumbbell curls,2,10.0,10.0,100.0
2024-02-24,Arms,Dumbbell curls,3,10.0,9.0,90.0
2024-02-24,Arms,Triceps pushdown,1,20.0,12.0,240.0
2024-02-24,Arms,Triceps pushdown,4,25.0,8.0,200.0
2024-02-24,Arms,Preacher curls,4,10.0,8.0,80.0
2024-02-24,Arms,Triceps pushdown,3,25.0,8.0,200.0
2024-02-26,Back,Lat Pulldown,3,30.0,8.0,240.0
2024-02-26,Back,Pull ups,1,56.0,7.0,392.0
2024-02-26,Back,Lat Pulldown,1,30.0,9.0,270.0
2024-02-26,Back,Cable crunches,1,36.0,11.0,396.0
2024-02-26,Back,Rev pec dec,3,15.0,9.0,135.0
2024-02-26,Back,Rev pec dec,2,15.0,9.0,135.0
2024-02-26,Back,Rev pec dec,1,15.0,10.0,150.0
2024-02-26,Back,Cable crunches,2,41.0,11.0,451.0
2024-02-26,Back,Lat pullover,1,20.0,9.0,180.0
2024-02-26,Back,Lat pullover,2,23.0,11.0,253.0
2024-02-26,Back,Cable rows,1,45.0,9.0,405.0
2024-02-26,Back,Pull ups,2,56.0,6.0,336.0
2024-02-26,Back,Cable rows,3,50.0,9.0,450.0
2024-02-26,Back,Cable rows,2,45.0,10.0,450.0
2024-02-26,Back,Lat Pulldown,2,30.0,8.0,240.0
2024-02-27,Chest/Shoulders,OHP,2,10.0,10.0,100.0
2024-02-27,Chest/Shoulders,Bench press,1,15.0,8.0,120.0
2024-02-27,Chest/Shoulders,Bench press,2,15.0,9.0,135.0
2024-02-27,Chest/Shoulders,Bench press,3,15.0,8.0,120.0
2024-02-27,Chest/Shoulders,Incline dumbbell press,2,12.5,8.0,100.0
2024-02-27,Chest/Shoulders,Incline dumbbell press,3,12.5,8.0,100.0
2024-02-27,Chest/Shoulders,Pec dec,1,20.0,11.0,220.0
2024-02-27,Chest/Shoulders,Pec dec,2,25.0,8.0,200.0
2024-02-27,Chest/Shoulders,Pec dec,3,25.0,8.0,200.0
2024-02-27,Chest/Shoulders,OHP,1,10.0,10.0,100.0
2024-02-27,Chest/Shoulders,Cross cable lateral raises,1,5.0,10.0,50.0
2024-02-27,Chest/Shoulders,Cross cable lateral raises,3,5.0,8.0,40.0
2024-02-27,Chest/Shoulders,Cross cable lateral raises,2,5.0,10.0,50.0
2024-02-27,Chest/Shoulders,Cable crunches,2,41.0,10.0,410.0
2024-02-27,Chest/Shoulders,Incline dumbbell press,1,12.5,8.0,100.0
2024-02-27,Chest/Shoulders,Cross cable lateral raises,4,5.0,9.0,45.0
2024-02-27,Chest/Shoulders,Cable crunches,1,36.0,10.0,360.0
2024-02-28,Legs,Leg press,1,50.0,8.0,400.0
2024-02-28,Legs,Cable crunches,2,41.0,11.0,451.0
2024-02-28,Legs,Cable crunches,1,36.0,11.0,396.0
2024-02-28,Legs,Calf raises,4,20.0,10.0,200.0
2024-02-28,Legs,Calf raises,3,20.0,10.0,200.0
2024-02-28,Legs,Calf raises,2,17.5,11.0,192.5
2024-02-28,Legs,Calf raises,1,17.5,13.0,227.5
2024-02-28,Legs,Lying leg curls,3,15.0,7.0,105.0
2024-02-28,Legs,Lying leg curls,2,15.0,8.0,120.0
2024-02-28,Legs,Leg extension,3,25.0,10.0,250.0
2024-02-28,Legs,Leg extension,2,25.0,8.0,200.0
2024-02-28,Legs,Leg extension,1,25.0,8.0,200.0
2024-02-28,Legs,Leg press,3,50.0,9.0,450.0
2024-02-28,Legs,Leg press,2,50.0,8.0,400.0
2024-02-28,Legs,Lying leg curls,4,10.0,9.0,90.0
2024-02-28,Legs,Lying leg curls,1,15.0,10.0,150.0
2024-03-01,Arms,Preacher curls,4,10.0,7.0,70.0
2024-03-01,Arms,Dumbbell curls,3,10.0,6.0,60.0
2024-03-01,Arms,Cable crunches,1,40.0,11.0,440.0
2024-03-01,Arms,Dumbbell curls,2,10.0,7.0,70.0
2024-03-01,Arms,Dumbbell curls,1,7.5,9.0,67.5
2024-03-01,Arms,Preacher curls,3,10.0,7.0,70.0
2024-03-01,Arms,Preacher curls,2,10.0,8.0,80.0
2024-03-01,Arms,Preacher curls,1,5.0,12.0,60.0
2024-03-01,Arms,Triceps pushdown,1,25.0,11.0,275.0
2024-03-01,Arms,Overhead triceps extension,4,15.0,10.0,150.0
2024-03-01,Arms,Overhead triceps extension,3,15.0,9.0,135.0
2024-03-01,Arms,Overhead triceps extension,2,15.0,8.0,120.0
2024-03-01,Arms,Overhead triceps extension,1,15.0,9.0,135.0
2024-03-01,Arms,Triceps pushdown,3,30.0,8.0,240.0
2024-03-01,Arms,Triceps pushdown,2,30.0,8.0,240.0
2024-03-01,Arms,Cable crunches,2,40.0,11.0,440.0
2024-03-04,Back,Rev pec dec,3,20.0,7.0,140.0
2024-03-04,Back,Rev pec dec,2,20.0,7.0,140.0
2024-03-04,Back,Rev pec dec,1,20.0,8.0,160.0
2024-03-04,Back,Lat pullover,2,27.0,7.0,189.0
2024-03-04,Back,Lat pullover,1,23.0,8.0,184.0
2024-03-04,Back,Cable rows,1,50.0,9.0,450.0
2024-03-04,Back,Cable rows,2,50.0,8.0,400.0
2024-03-04,Back,Lat Pulldown,3,35.0,6.0,210.0
2024-03-04,Back,Lat Pulldown,2,35.0,6.0,210.0
2024-03-04,Back,Lat Pulldown,1,35.0,7.0,245.0
2024-03-04,Back,Cable crunches,1,41.0,11.0,451.0
2024-03-04,Back,Pull ups,1,56.0,8.0,448.0
2024-03-04,Back,Cable rows,3,50.0,8.0,400.0
2024-03-04,Back,Pull ups,2,56.0,7.0,392.0
2024-03-04,Back,Cable crunches,2,45.0,9.0,405.0
2024-03-06,Chest/Shoulder,Bench press,2,20.0,5.0,100.0
2024-03-06,Chest/Shoulder,Cable crunches,2,45.0,10.0,450.0
2024-03-06,Chest/Shoulder,Cable crunches,1,40.0,12.0,480.0
2024-03-06,Chest/Shoulder,Lateral raises,4,5.0,10.0,50.0
2024-03-06,Chest/Shoulder,Lateral raises,3,5.0,9.0,45.0
2024-03-06,Chest/Shoulder,Lateral raises,2,5.0,8.0,40.0
2024-03-06,Chest/Shoulder,Lateral raises,1,5.0,8.0,40.0
2024-03-06,Chest/Shoulder,Bench press,1,15.0,8.0,120.0
2024-03-06,Chest/Shoulder,OHP,2,10.0,8.0,80.0
2024-03-06,Chest/Shoulder,Pec dec,3,30.0,7.0,210.0
2024-03-06,Chest/Shoulder,Pec dec,2,30.0,6.0,180.0
2024-03-06,Chest/Shoulder,Incline dumbbell press,3,15.0,8.0,120.0
2024-03-06,Chest/Shoulder,Incline dumbbell press,2,15.0,6.0,90.0
2024-03-06,Chest/Shoulder,Incline dumbbell press,1,15.0,7.0,105.0
2024-03-06,Chest/Shoulder,Bench press,3,20.0,6.0,120.0
2024-03-06,Chest/Shoulder,OHP,1,10.0,8.0,80.0
2024-03-06,Chest/Shoulder,Pec dec,1,25.0,10.0,250.0
2024-03-11,Back,Cable crunches,1,41.0,10.0,410.0
2024-03-11,Back,Bench press,1,15.0,8.0,120.0
2024-03-11,Back,Pull ups,2,56.0,6.0,336.0
2024-03-11,Back,Lat pullover,1,20.0,9.0,180.0
2024-03-11,Back,Lat pullover,2,25.0,6.0,150.0
2024-03-11,Back,Lat Pulldown,1,35.0,9.0,315.0
2024-03-11,Back,Lat Pulldown,2,35.0,8.0,280.0
2024-03-11,Back,Lat Pulldown,3,35.0,7.0,245.0
2024-03-11,Back,Cable rows,1,35.0,7.0,245.0
2024-03-11,Back,Cable rows,2,30.0,8.0,240.0
2024-03-11,Back,Cable rows,3,30.0,8.0,240.0
2024-03-11,Back,Rev pec dec,1,20.0,7.0,140.0
2024-03-11,Back,Rev pec dec,2,15.0,7.0,105.0
2024-03-11,Back,Pull ups,1,56.0,7.0,392.0
2024-03-11,Back,Rev pec dec,3,15.0,7.0,105.0
2024-03-11,Back,Cable crunches,2,45.0,10.0,450.0
2024-03-11,Back,Cable lateral raises,3,5.0,7.0,35.0
2024-03-11,Back,Cable lateral raises,4,5.0,8.0,40.0
2024-03-11,Back,Cable lateral raises,2,5.0,9.0,45.0
2024-03-11,Back,Cable lateral raises,1,5.0,8.0,40.0
2024-03-11,Back,OHP,2,10.0,7.0,70.0
2024-03-11,Back,OHP,1,10.0,9.0,90.0
2024-03-11,Back,Pec dec,3,20.0,9.0,180.0
2024-03-11,Back,Bench press,2,10.0,8.0,80.0
2024-03-11,Back,Pec dec,1,25.0,8.0,200.0
2024-03-11,Back,Incline dumbbell press,3,12.5,8.0,100.0
2024-03-11,Back,Incline dumbbell press,2,12.5,9.0,112.5
2024-03-11,Back,Incline dumbbell press,1,12.5,8.0,100.0
2024-03-11,Back,Bench press,3,10.0,9.0,90.0
2024-03-11,Back,Pec dec,2,25.0,7.0,175.0
2024-03-13,Legs,Calf raises,4,20.0,9.0,180.0
2024-03-13,Legs,Calf raises,3,17.5,10.0,175.0
2024-03-13,Legs,Calf raises,2,17.5,10.0,175.0
2024-03-13,Legs,Calf raises,1,17.5,10.0,175.0
2024-03-13,Legs,Lying leg curls,4,15.0,8.0,120.0
2024-03-13,Legs,Lying leg curls,3,15.0,8.0,120.0
2024-03-13,Legs,Leg extension,3,25.0,9.0,225.0
2024-03-13,Legs,Lying leg curls,1,15.0,7.0,105.0
2024-03-13,Legs,Leg extension,2,25.0,8.0,200.0
2024-03-13,Legs,Leg extension,1,25.0,8.0,200.0
2024-03-13,Legs,Cable crunches,1,40.0,11.0,440.0
2024-03-13,Legs,Leg press,3,50.0,7.0,350.0
2024-03-13,Legs,Lying leg curls,2,15.0,8.0,120.0
2024-03-13,Legs,Cable crunches,2,45.0,10.0,450.0
2024-03-13,Legs,Leg press,1,50.0,8.0,400.0
2024-03-13,Legs,Leg press,2,50.0,8.0,400.0
